skills,salary,english,experience,vacancy_url
-1,$800-1500,Виключно       від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/660884-junior-software-engineer-python-or-typescript/
Python,$3000-3500,від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/609780-python-developer/
"Python3+,Python3,Serverless,Salesforce CRM,Apache Airflow,Salesforce",-1,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/660605-software-development-engineer-marketing-platf/
"Python / Django,Django Rest Framework,Django/Python,Django",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/652962-lead-python-engineer/
"Kubernetes,Python,MLops,AIOHTTP / Starlette / FastAPI,SQLAlchemy and Alembic,CI/CD,AWS / GCP / Azure",$4500-7500,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/640349-software-engineer/
"Python,Online Advertising",-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/660647-backend-developer-python/
"Python,Django,Django ORM,Celery,Kubernetes,Postgres,Redis",-1,від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/660680-senior-python-engineer-business-aviation-saas/
-1,-1,Виключно       від       Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/545042-middle-python-developer/
-1,-1,-1,-1,https://djinni.co/jobs/661482-python-developer/
"Python3,Node,Telegram Bot API",-1,-1,-1,https://djinni.co/jobs/638646-backend-fulllstack-developer-developer/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/660251-junior-middle-software-engineer/
-1,-1,-1,-1,https://djinni.co/jobs/660255-senior-backend-engineer-python-/
"beautifulsoup,selenium,SQL,Web automation",-1,від       Intermediate,від         1 року досвіду,https://djinni.co/jobs/647213-python-developer-scraping-/
"LLMs,LLM,Python",$5300-5500,Виключно       від       Advanced/Fluent,від         3 років досвіду,https://djinni.co/jobs/660341-agentic-software-developer/
-1,-1,-1,-1,https://djinni.co/jobs/660367-junior-python-developer/
"Node.js/Express.js/NestJS,NodeJS/NestJS/Javascript/Typescript,Node.js,Shopify,eCommerce,Backend development,Word Press",-1,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/660305-backend-developer/
"Middle FullStack Python + NextJS,Python/Django/Django-rest-framework,NextJS,Next.js",-1,від       Upper-Intermediate,від         3.5 років досвіду,https://djinni.co/jobs/660318-middle-fullstack-python-nextjs/
"Python,Python3,SQL,BigQuery",-1,-1,-1,https://djinni.co/jobs/649765-middle-python-database-developer-cloud/
"VLSI,Python,TCL",-1,Виключно       від       Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/649355-senior-vlsi-backend-engineer/
-1,-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/539833-senior-python-developer/
"Python,PHP,Backend development",-1,Виключно       від       Upper-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/640525-backend-software-engineer/
"Python,Python / Django,Python/Django/Django-rest-framework,AWS,Docker / Docker Compose",-1,Виключно       від       Upper-Intermediate,від         2.5 років досвіду,https://djinni.co/jobs/659497-middle-python-django-developer/
-1,-1,Виключно       від       Pre-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/659620-python-developer/
"Django REST Framework,Python / Django,Django,Django/Python,React,Full-stack Web Development",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/659530-full-stack-engineer-django-react-/
-1,-1,Виключно       від       Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/651778-python-technical-lead-in-intelligence-integra/
"Python / Django,Azure Cloud,React + JS,CosmosDB,Azure OpenAI,Milvus DB,FastApi",-1,від       Advanced/Fluent,від         5 років досвіду,https://djinni.co/jobs/646731-senior-python-developer-tech-lead/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/658910-python-developer/
"Python,Python / Django",-1,-1,-1,https://djinni.co/jobs/658899-python-rozrobnik-na-proekt-/
-1,-1,-1,-1,https://djinni.co/jobs/505763-python-developer/
"Python,Elastic,Redis,NoSql,SQL,JWT,Docker",-1,від       Intermediate,від         2 років досвіду,https://djinni.co/jobs/649557-python-developer/
-1,-1,від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/658977-python-developer/
-1,-1,-1,-1,https://djinni.co/jobs/658991-junior-python-developer/
-1,-1,Виключно       від       Pre-Intermediate,від         0.5 років досвіду,https://djinni.co/jobs/658966-junior-python-developer/
"Django,PostgreSQL,Celery,Redis,Django ORM,Django Rest Framework",-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/324711-python-django-developer/
Python,-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/641887-senior-python-engineer/
"python,scraping,SQL/NoSQL,BeautifulSoup",-1,від       Intermediate,Виключно                       від         1 року досвіду,https://djinni.co/jobs/641579-python-developer/
Python,-1,від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/658426-middle-python-developer-irc227676/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         1.5 років досвіду,https://djinni.co/jobs/658453-junior-middle-python-developer-irc226561/
-1,-1,Виключно       від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/658431-senior-lead-python-software-engineer/
"beautifulsoup,selenium,SQL,Web automation",-1,від       Upper-Intermediate,від         1 року досвіду,https://djinni.co/jobs/650802-python-developer-scraping-/
"Python,rag,LLM,Microsoft Azure",-1,від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/658539-python-developer-llm-rag-azure-experience-is-/
"Kafka,AWS,SQL or DWH",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/657818-senior-software-engineer-aws-kafka-/
-1,-1,від       Upper-Intermediate,від         2 років досвіду,https://djinni.co/jobs/657816-backend-developer-python-odoo-/
-1,-1,від       Upper-Intermediate,Виключно                       від         0.5 років досвіду,https://djinni.co/jobs/592719-full-stack-python-developer/
-1,-1,від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/657959-senior-python-developer/
"AWS,Python",-1,від       Upper-Intermediate,від         3.5 років досвіду,https://djinni.co/jobs/657873-middle-python-developer/
"Python,FastAPI,Fast API,SQL,AWS",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/657972-senior-strong-middle-python-backend-engineer-/
-1,-1,від       Pre-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/650078-senior-python-developer/
"Python,FastApi,Fast API,AWS,OpenAI,AI,ML",-1,від       Upper-Intermediate,від         4.5 років досвіду,https://djinni.co/jobs/658157-senior-python-developer/
"Python,Django/Python,Flask",-1,-1,-1,https://djinni.co/jobs/657305-python-developer/
-1,-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/645011-senior-test-automation-engineer-python-/
"Python,MySQL/PostgreSQL/MongoDB,Google GCP,React/Redux/Next.js,CI/CD,REST API",-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/657382-senior-python-full-stack-developer/
"AI,GenerativeAI,Python,GCP,GCP/AWS,AWS/GCP/Azure,GCP BigQuery",$3000-4000,від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/657425-senior-python-developer/
"Python,AI,NLP",-1,Виключно       від       Upper-Intermediate,від         3.5 років досвіду,https://djinni.co/jobs/657443-middle-strong-python-developer-with-ai-experi/
"Python,Python3,FastAPI,AWS,GCP,DDD",$2000-3000,Виключно       від       Upper-Intermediate,Виключно                       від         4 років досвіду,https://djinni.co/jobs/636028-python-developer/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/657446-senior-python-developer/
-1,-1,Виключно       від       Upper-Intermediate,від         4 років досвіду,https://djinni.co/jobs/657591-python-developer/
-1,-1,від       Intermediate,Виключно                       від         3.5 років досвіду,https://djinni.co/jobs/657112-software-engineer-python-/
"AWS,Kafka",-1,Виключно       від       Upper-Intermediate,Виключно                       від         4.5 років досвіду,https://djinni.co/jobs/657804-senior-python-engineer-aws-kafka-/
"Python,UAV,ArduPilot,Jetson,Raspberry Pi,GIS",-1,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/657808-python-uav-developer/
"Data Science in Python,Python3+,DDD",-1,від       Upper-Intermediate,від         6 років досвіду,https://djinni.co/jobs/658221-senior-software-engineer/
-1,-1,-1,-1,https://djinni.co/jobs/658232-middle-senior-backend-developer-python-django/
-1,-1,від       Pre-Intermediate,від         4 років досвіду,https://djinni.co/jobs/657809-middle-senior-python-developer/
-1,-1,від       Upper-Intermediate,від         1.5 років досвіду,https://djinni.co/jobs/604195-python-developer/
"Python,CI/CD,AWS,Docker/Kubernetes",-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/622263-python-engineer-for-fintech-saas/
-1,-1,Виключно       від       Advanced/Fluent,Виключно                       від         5 років досвіду,https://djinni.co/jobs/609164-senior-software-engineer/
"Python / Django,Django REST,PostgreSQL,AI technology,Celery,RabbitMQ",-1,від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/603610-senior-python-developer-ai-domain-/
-1,-1,Виключно       від       Intermediate,від         3 років досвіду,https://djinni.co/jobs/564486-python-django-developer/
"Python,Django,FastAPI,Streamlit,AWS,Docker",-1,від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/610102-senior-python-developer/
"Unix,network processing",-1,від       Pre-Intermediate,Виключно                       від         2 років досвіду,https://djinni.co/jobs/638510-python-quant-developer/
"Python,math",-1,Виключно       від       Intermediate,Без досвіду,https://djinni.co/jobs/560648-math-python-developer/
-1,-1,Виключно       від       Upper-Intermediate,Виключно                       від         5 років досвіду,https://djinni.co/jobs/658733-team-leader-python/
"Python,SQL,API",-1,Виключно       від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/658760-python-developer/
-1,-1,від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/658774-senior-developer-python-flask-/
"Python,LLMs,OpenAI,API,FastAPI,NLP,AI",$2400-4000,Виключно       від       Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/650907-middle-python-ai-engineer/
-1,-1,-1,-1,https://djinni.co/jobs/659009-backend-developer-python-php-/
"Django,Flask,OpenAI APIs",$500-1000,-1,-1,https://djinni.co/jobs/659030-junior-python-developer/
"Python,web scraping,Flask,MySQL/PostgreSQL/MongoDB",-1,від       Upper-Intermediate,від         3 років досвіду,https://djinni.co/jobs/650798-middle-python-developer/
-1,-1,від       Upper-Intermediate,від         1 року досвіду,https://djinni.co/jobs/659232-junior-python-developer-irc218290-/
"Django,Django REST Framework,React,JavaScript,HTML",$5000-6000,Виключно       від       Upper-Intermediate,від         5 років досвіду,https://djinni.co/jobs/245722-senior-react-python-django-full-stack-develop/
"Python,NLP",-1,-1,-1,https://djinni.co/jobs/649780-middle-python-engineer/
"Python,Python3,SQL,PostgreSQL",-1,-1,-1,https://djinni.co/jobs/649776-middle-python-database-developer/
"Python,Machine Learning,SQL,OLAP storage,Apache Airflow,Snowflake and Snowpark,Scala",-1,Виключно       від       Upper-Intermediate,Виключно                       від         3 років досвіду,https://djinni.co/jobs/660134-python-ml-data-engineer/
